iter	Logloss
0	0.5840663273
1	0.5104403935
2	0.4638228125
3	0.413966396
4	0.3712894209
5	0.3421258537
6	0.3234882199
7	0.306261694
8	0.2924755327
9	0.2837622531
10	0.271292384
11	0.2643976407
12	0.2565937792
13	0.2488328507
14	0.244478411
15	0.2379539386
16	0.2336457044
17	0.2297826203
18	0.2243895466
19	0.2204597153
20	0.2159964676
21	0.2110917552
22	0.2080941435
23	0.2048483699
24	0.2025645432
25	0.1997347602
26	0.1978312404
27	0.1949891193
28	0.192423933
29	0.1907916358
30	0.1888482989
31	0.1861258291
32	0.1844587555
33	0.1829347542
34	0.181057163
35	0.1800028288
36	0.1779625722
37	0.1760548708
38	0.1748667157
39	0.173488103
40	0.1719830903
41	0.170873368
42	0.1699132818
43	0.1681124665
44	0.1666035165
45	0.1655039774
46	0.1646751941
47	0.163673151
48	0.1624331801
49	0.1613164857
50	0.1604912059
51	0.1598806006
52	0.1591378371
53	0.1584534616
54	0.1574709191
55	0.1566497152
56	0.156062265
57	0.155303575
58	0.1547460681
59	0.1539678774
60	0.1533473615
61	0.1520467289
62	0.1512774992
63	0.1504864743
64	0.149374865
65	0.1486781051
66	0.1482230037
67	0.1475894886
68	0.1469431553
69	0.1463053304
70	0.1460136131
71	0.1454400589
72	0.1448600326
73	0.144200222
74	0.1434212099
75	0.1427404104
76	0.1420407355
77	0.1415230099
78	0.141036198
79	0.1407529588
80	0.1403370993
81	0.1398245077
82	0.1391573954
83	0.1382640947
84	0.1375168724
85	0.1369517002
86	0.1359766065
87	0.1355810394
88	0.1352346838
89	0.1346984783
90	0.134355447
91	0.1341197821
92	0.133610918
93	0.1334399328
94	0.1327350244
95	0.1323341143
96	0.1318045051
97	0.1315627901
98	0.1306462409
99	0.1302052681
100	0.1296697713
101	0.129054463
102	0.1287783666
103	0.1283837869
104	0.1279777244
105	0.1276131275
106	0.127223388
107	0.1266932838
108	0.1262239138
109	0.1255902204
110	0.1253810949
111	0.1249841268
112	0.1247108351
113	0.1242397634
114	0.1239686888
115	0.1235073123
116	0.1232679855
117	0.122860084
118	0.1223799221
119	0.1219887944
120	0.1217968355
121	0.1216830028
122	0.1210024594
123	0.1209763601
124	0.1205549266
125	0.1203951705
126	0.1198331364
127	0.119362845
128	0.1190926287
129	0.1188580686
130	0.1187401582
131	0.1181668752
132	0.1180057205
133	0.1176723315
134	0.1176489015
135	0.1173197757
136	0.1170749462
137	0.1166690312
138	0.1163125824
139	0.1161377208
140	0.115886759
141	0.115667694
142	0.1155100965
143	0.1152409986
144	0.1148197
145	0.1144322451
146	0.1138735263
147	0.1137917367
148	0.1135019003
149	0.113125327
150	0.1129566499
151	0.1125760535
152	0.1122116796
153	0.1119738938
154	0.1116286892
155	0.11153389
156	0.1110994275
157	0.1109179998
158	0.1106838311
159	0.1103446555
160	0.1101638714
161	0.1100633756
162	0.1100115178
163	0.1097893619
164	0.1095247959
165	0.1091858665
166	0.1087117406
167	0.1084503122
168	0.1083215428
169	0.1078117545
170	0.1077713248
171	0.107528795
172	0.1072827984
173	0.1069929356
174	0.106877446
175	0.1066280167
176	0.1063762349
177	0.1062523129
178	0.1062340726
179	0.1057726828
180	0.1055178573
181	0.1052894399
182	0.1050036149
183	0.1048233457
184	0.1045592356
185	0.104288022
186	0.1040994722
187	0.1037210528
188	0.1034749049
189	0.103078878
190	0.1027079876
191	0.1024818859
192	0.1020886062
193	0.1018453091
194	0.1014813738
195	0.101297835
196	0.1010245131
197	0.1007695951
198	0.1005519188
199	0.1003636604
200	0.1001938776
201	0.09980669104
202	0.09971351671
203	0.09939077399
204	0.09928516346
205	0.09911506002
206	0.09897206169
207	0.09879904607
208	0.09846355217
209	0.09819269829
210	0.0979853254
211	0.09760860731
212	0.09743987368
213	0.09729410084
214	0.09701556004
215	0.09674749763
216	0.09647384049
217	0.09630648232
218	0.09623088672
219	0.09609906417
220	0.09605475003
221	0.09592014355
222	0.09574525312
223	0.09557438722
224	0.09528695285
225	0.09510090926
226	0.09481111769
227	0.09446003729
228	0.09435491715
229	0.09402729265
230	0.09372447689
231	0.0936502129
232	0.09353794338
233	0.09334604714
234	0.09305600802
235	0.09279332202
236	0.09250668972
237	0.09237940756
238	0.09231330108
239	0.09208189371
240	0.09186698998
241	0.09171265318
242	0.09156693787
243	0.09134477773
244	0.0913203764
245	0.09121296745
246	0.09109101738
247	0.09088358885
248	0.09079338989
249	0.09058074857
250	0.09039306829
251	0.09022232027
252	0.08998366546
253	0.0896855207
254	0.0895582258
255	0.08936874097
256	0.08914912145
257	0.08894532655
258	0.08873874018
259	0.08862454918
260	0.08858832841
261	0.08842389893
262	0.08828613178
263	0.08810412828
264	0.08798612776
265	0.08782611276
266	0.08767844579
267	0.08754552504
268	0.0874602187
269	0.08739530754
270	0.08724374052
271	0.08714340125
272	0.08695090238
273	0.0868295191
274	0.0867056282
275	0.08639450781
276	0.08623862485
277	0.08606738738
278	0.08590231567
279	0.08579004757
280	0.08564574262
281	0.08550239818
282	0.08537701818
283	0.08529582124
284	0.08520735846
285	0.08509882914
286	0.0849904493
287	0.08477606991
288	0.08466601991
289	0.08450826968
290	0.08440292745
291	0.08431820345
292	0.08415246593
293	0.08402282564
294	0.08383615208
295	0.08364348677
296	0.08351101681
297	0.08332767699
298	0.08320155385
299	0.08306309213
300	0.08290641747
301	0.08279621374
302	0.08268357974
303	0.08253882494
304	0.08244994108
305	0.08229633892
306	0.0821816613
307	0.08203529575
308	0.08191504649
309	0.08177669841
310	0.08168565493
311	0.0816729476
312	0.08148984921
313	0.08126153415
314	0.08118925908
315	0.08104180005
316	0.08084674972
317	0.08082001666
318	0.08076938209
319	0.08064049342
320	0.08049683258
321	0.08039535362
322	0.0802560686
323	0.08019806917
324	0.08003321484
325	0.07998048242
326	0.07987727671
327	0.07971477674
328	0.07960653128
329	0.07951883474
330	0.0794578557
331	0.07930425448
332	0.07924576277
333	0.07905104629
334	0.07886457078
335	0.07873804543
336	0.07857275823
337	0.07853224605
338	0.07845196671
339	0.07828971759
340	0.07804958829
341	0.07795716935
342	0.07782086206
343	0.07766968358
344	0.07760844614
345	0.07748487494
346	0.07740715461
347	0.07734851059
348	0.07731088325
349	0.07717409924
350	0.07702474936
351	0.07682137271
352	0.07660625302
353	0.0765059345
354	0.07641210992
355	0.07634675128
356	0.0761996907
357	0.07611351815
358	0.07595778089
359	0.07583242211
360	0.0757863963
361	0.07570445246
362	0.07555532373
363	0.07545895759
364	0.07533386051
365	0.07524019531
366	0.07521979399
367	0.07515656857
368	0.07501263754
369	0.07490640129
370	0.07474557148
371	0.07463958891
372	0.07449276739
373	0.07437689254
374	0.07428988114
375	0.07415398502
376	0.07396050395
377	0.07387917499
378	0.07379779038
379	0.07366108228
380	0.07356642875
381	0.07344468521
382	0.07328973541
383	0.07315654637
384	0.07306472062
385	0.07296235918
386	0.07287068455
387	0.07276064539
388	0.0727119276
389	0.07263265593
390	0.07253892071
391	0.07250617396
392	0.07245735008
393	0.07237879537
394	0.07228935063
395	0.07224425067
396	0.0721366597
397	0.07199211215
398	0.07190443235
399	0.07180630008
400	0.07173084594
401	0.07157828021
402	0.07151048234
403	0.0713266625
404	0.07125124324
405	0.07114542194
406	0.07105516733
407	0.07097458881
408	0.07087255155
409	0.07087256782
410	0.07076082972
411	0.07067886914
412	0.0706136555
413	0.07048072579
414	0.07039808502
415	0.07031289892
416	0.07023390191
417	0.0702049675
418	0.07010970122
419	0.07002533911
420	0.06980935746
421	0.06975013299
422	0.06967164241
423	0.06962551853
424	0.06948089906
425	0.06935370296
426	0.06924537852
427	0.06911710473
428	0.06899933125
429	0.06892458629
430	0.06884414215
431	0.06879018682
432	0.06864157607
433	0.06856486317
434	0.0684604501
435	0.06835458234
436	0.06830820878
437	0.06816723756
438	0.06812154489
439	0.06802813196
440	0.06797968366
441	0.06789309027
442	0.06773514223
443	0.06764055542
444	0.06754766236
445	0.06748933757
446	0.06745025767
