iter	Passed	Remaining
414	2877	4055
415	2884	4048
416	2890	4040
417	2896	4033
418	2904	4027
419	2910	4019
420	2919	4014
421	2926	4008
422	2933	4001
423	2940	3994
424	2947	3987
425	2954	3980
426	2960	3973
427	2967	3965
428	2972	3956
429	2978	3948
430	2985	3940
431	2990	3931
432	2996	3923
433	3002	3915
434	3008	3907
435	3014	3899
436	3020	3890
437	3025	3882
438	3031	3873
439	3036	3864
440	3042	3856
441	3047	3846
442	3052	3838
443	3058	3829
444	3064	3821
445	3069	3813
446	3075	3805
447	3081	3796
448	3087	3788
449	3092	3780
450	3097	3771
451	3103	3762
452	3109	3754
453	3115	3747
454	3121	3738
455	3127	3730
456	3132	3722
457	3139	3715
458	3145	3707
459	3151	3699
460	3157	3692
461	3164	3684
462	3171	3677
463	3177	3670
464	3184	3663
465	3190	3656
466	3197	3648
467	3203	3641
468	3209	3633
469	3215	3626
470	3221	3618
471	3228	3611
472	3234	3604
473	3241	3596
474	3247	3589
475	3254	3582
476	3260	3575
477	3267	3567
478	3273	3560
479	3280	3553
480	3286	3546
481	3293	3539
482	3300	3533
483	3307	3526
484	3315	3520
485	3322	3513
486	3330	3508
487	3336	3500
488	3342	3493
489	3349	3486
490	3356	3479
491	3363	3472
492	3369	3465
493	3375	3457
494	3382	3451
495	3389	3443
496	3395	3436
497	3401	3429
498	3408	3422
499	3414	3414
500	3421	3407
501	3428	3400
502	3434	3393
503	3441	3386
504	3446	3378
505	3452	3370
506	3459	3363
507	3465	3356
508	3472	3349
509	3479	3342
510	3485	3335
511	3491	3327
512	3497	3320
513	3504	3313
514	3510	3306
515	3517	3299
516	3523	3292
517	3530	3284
518	3536	3277
519	3543	3270
520	3549	3263
521	3556	3256
522	3562	3249
523	3568	3241
524	3575	3234
525	3581	3227
526	3587	3219
527	3593	3212
528	3599	3205
529	3605	3197
530	3612	3190
531	3618	3183
532	3624	3176
533	3631	3168
534	3637	3161
535	3644	3154
536	3651	3148
537	3658	3142
538	3666	3135
539	3672	3128
540	3679	3121
541	3686	3114
542	3692	3108
543	3699	3101
544	3705	3093
545	3712	3086
546	3718	3079
547	3725	3072
548	3731	3065
549	3737	3058
550	3744	3050
551	3750	3043
552	3757	3036
553	3763	3029
554	3769	3022
555	3776	3015
556	3782	3008
557	3789	3001
558	3794	2993
559	3800	2986
560	3807	2979
561	3813	2971
562	3819	2964
563	3826	2957
564	3832	2951
565	3840	2944
566	3846	2937
567	3854	2931
568	3859	2923
569	3864	2915
570	3871	2908
571	3878	2902
572	3885	2895
573	3892	2888
574	3899	2881
575	3905	2874
576	3912	2868
577	3919	2861
578	3926	2854
579	3933	2848
580	3940	2841
581	3945	2833
582	3952	2827
583	3958	2820
584	3966	2813
585	3972	2806
586	3979	2799
587	3986	2792
588	3992	2785
589	3998	2778
590	4004	2771
591	4010	2764
592	4016	2756
593	4023	2749
594	4029	2742
595	4034	2734
596	4040	2727
597	4046	2720
598	4051	2712
599	4057	2705
600	4063	2697
601	4069	2690
602	4075	2682
603	4080	2675
604	4086	2668
605	4092	2660
606	4098	2653
607	4104	2646
608	4109	2638
609	4115	2631
610	4121	2623
611	4127	2616
612	4133	2609
613	4137	2601
614	4144	2594
615	4149	2586
616	4155	2579
617	4161	2572
618	4167	2565
619	4172	2557
620	4178	2550
621	4185	2543
622	4191	2536
623	4198	2530
624	4205	2523
625	4213	2517
626	4220	2510
627	4227	2504
628	4234	2497
629	4241	2490
630	4247	2484
631	4254	2477
632	4261	2470
633	4267	2463
634	4274	2456
635	4279	2449
636	4286	2442
637	4294	2436
638	4300	2429
639	4307	2423
640	4314	2416
641	4319	2408
642	4326	2401
643	4332	2394
644	4337	2387
645	4344	2380
646	4349	2373
647	4354	2365
648	4360	2358
649	4367	2351
650	4373	2344
651	4378	2336
652	4384	2329
653	4391	2323
654	4397	2316
655	4405	2310
656	4411	2303
657	4418	2296
658	4424	2289
659	4430	2282
660	4437	2275
661	4444	2269
662	4450	2262
663	4456	2255
664	4463	2248
665	4470	2241
666	4476	2234
667	4483	2228
668	4489	2221
669	4496	2214
670	4502	2207
671	4508	2200
672	4515	2193
673	4522	2187
674	4528	2180
675	4534	2173
676	4540	2166
677	4546	2159
678	4553	2152
679	4559	2145
680	4566	2138
681	4572	2132
682	4579	2125
683	4585	2118
684	4591	2111
685	4598	2104
686	4604	2097
687	4610	2091
688	4615	2083
689	4622	2076
690	4628	2069
691	4634	2062
692	4640	2055
693	4647	2048
694	4653	2042
695	4659	2035
696	4666	2028
697	4671	2021
698	4679	2014
699	4684	2007
700	4691	2000
701	4698	1994
702	4704	1987
703	4711	1980
704	4716	1973
705	4723	1966
706	4728	1959
707	4734	1952
708	4740	1945
709	4747	1939
710	4754	1932
711	4761	1926
712	4768	1919
713	4774	1912
714	4782	1906
715	4789	1899
716	4795	1892
717	4801	1885
718	4808	1879
719	4814	1872
720	4820	1865
721	4827	1858
722	4834	1852
723	4841	1845
724	4847	1838
725	4853	1831
726	4859	1824
727	4865	1817
728	4871	1810
729	4877	1803
730	4883	1796
731	4888	1789
732	4895	1783
733	4901	1776
734	4905	1768
735	4911	1761
736	4918	1755
737	4925	1748
738	4932	1741
739	4939	1735
740	4946	1728
741	4953	1722
742	4959	1715
743	4965	1708
744	4972	1701
745	4979	1695
746	4985	1688
747	4992	1681
748	4998	1675
749	5004	1668
750	5011	1661
751	5017	1654
752	5024	1648
753	5030	1641
754	5036	1634
755	5042	1627
756	5048	1620
757	5055	1613
758	5061	1607
759	5066	1599
760	5072	1593
761	5078	1586
762	5084	1579
763	5091	1572
764	5097	1565
765	5103	1559
766	5110	1552
767	5116	1545
768	5122	1538
769	5128	1531
770	5135	1525
771	5142	1518
772	5149	1512
773	5155	1505
774	5161	1498
775	5168	1491
776	5174	1485
777	5180	1478
778	5186	1471
779	5193	1464
780	5199	1457
781	5205	1451
782	5211	1444
783	5218	1437
784	5225	1431
785	5231	1424
786	5238	1417
787	5244	1410
788	5250	1404
789	5255	1397
790	5261	1390
791	5267	1383
792	5274	1376
793	5280	1370
794	5286	1363
795	5293	1356
796	5297	1349
797	5303	1342
798	5310	1335
799	5316	1329
800	5322	1322
801	5328	1315
802	5335	1308
803	5339	1301
804	5345	1294
805	5352	1288
806	5358	1281
807	5363	1274
808	5369	1267
809	5375	1260
810	5381	1254
811	5387	1247
812	5394	1240
813	5400	1234
814	5406	1227
815	5413	1220
816	5419	1213
817	5425	1207
818	5432	1200
819	5464	1199
820	5470	1192
821	5475	1185
822	5481	1178
823	5488	1172
824	5493	1165
825	5500	1158
826	5506	1151
827	5512	1145
828	5518	1138
829	5525	1131
830	5532	1125
831	5538	1118
832	5544	1111
833	5550	1104
834	5556	1098
835	5563	1091
836	5569	1084
837	5576	1077
838	5582	1071
839	5588	1064
840	5595	1057
841	5601	1051
842	5607	1044
843	5614	1037
844	5620	1030
845	5626	1024
846	5632	1017
847	5639	1010
848	5645	1004
849	5651	997
850	5657	990
851	5662	983
852	5669	977
853	5673	969
854	5678	963
855	5685	956
856	5691	949
857	5697	942
858	5704	936
859	5710	929
860	5716	922
861	5722	916
862	5729	909
863	5735	902
864	5741	896
865	5747	889
866	5754	882
867	5761	876
868	5767	869
869	5774	862
870	5780	856
871	5786	849
872	5793	842
873	5799	836
874	5806	829
875	5812	822
876	5818	816
877	5824	809
878	5831	802
879	5837	796
880	5844	789
881	5851	782
882	5856	775
883	5862	769
884	5869	762
885	5875	755
886	5882	749
887	5888	742
888	5894	735
889	5900	729
890	5907	722
891	5912	715
892	5918	709
893	5923	702
894	5929	695
895	5935	688
896	5940	682
897	5946	675
898	5953	668
899	5959	662
900	5965	655
901	5971	648
902	5977	642
903	5983	635
904	5989	628
905	5995	622
906	6001	615
907	6007	608
908	6014	602
909	6020	595
910	6026	588
911	6033	582
912	6039	575
913	6046	568
914	6052	562
915	6058	555
916	6065	548
917	6071	542
918	6078	535
919	6084	529
920	6091	522
921	6097	515
922	6103	509
923	6109	502
924	6116	495
925	6122	489
926	6128	482
927	6134	475
928	6141	469
929	6147	462
930	6153	456
931	6159	449
932	6165	442
933	6170	436
934	6175	429
935	6181	422
936	6188	416
937	6194	409
938	6200	402
939	6206	396
940	6212	389
941	6219	382
942	6224	376
943	6230	369
944	6236	362
945	6241	356
946	6247	349
947	6254	343
948	6261	336
949	6266	329
950	6272	323
951	6279	316
952	6286	310
953	6292	303
954	6298	296
955	6305	290
956	6311	283
957	6317	276
958	6323	270
959	6330	263
960	6336	257
961	6343	250
962	6349	243
963	6355	237
964	6361	230
965	6368	224
966	6374	217
967	6380	210
968	6386	204
969	6393	197
970	6398	191
971	6404	184
972	6409	177
973	6416	171
974	6422	164
975	6428	158
976	6434	151
977	6441	144
978	6447	138
979	6453	131
980	6458	125
981	6465	118
982	6471	111
983	6478	105
984	6483	98
985	6490	92
986	6496	85
987	6502	78
988	6508	72
989	6514	65
990	6520	59
991	6526	52
992	6531	46
993	6536	39
994	6542	32
995	6548	26
996	6553	19
997	6560	13
998	6565	6
999	6571	0
